Code,Msoa_name,education_no qualifications,net weekly income,lone_parent_unemployed,work_49hr_more,no_car_in_household,families_with_3plus_kids,child_poverty,overcrowded_houses,limiting_long-term_illness_disability,health_life_expectancy_at_birth,self_harm_hospital_admission,hospital_admission_associated_with_alcohol,regular_smoking_at15,samhi_index.2011,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english
E02000963,Westminster 004,23.8,710,56.6,594,2557,24.21203438,27.4,31.3,19.9,55.01309,50,133.0,3.8,-0.9774585250313096,129.7684351851852,0,0,5.7
E02000964,Westminster 005,19.0,730,56.5,998,3652,19.64769648,28.6,32.0,18.2,55.563545,37.1,113.9,3.9,-1.169341989205481,207.0858786828423,0,0,4.8
E02000965,Westminster 006,9.8,1140,56.9,1485,2267,16.23449831,12.8,25.7,11.5,63.498545,25.6,89.3,5.4,-1.738450435049368,129.9906331360947,0,0,3.2
E02000966,Westminster 007,8.5,1220,50.9,1983,2418,15.40880503,8.3,24.4,11.5,67.51281,19.3,58.7,6.2,-1.865526853480677,230.7512807881773,2,0,3.8
E02000967,Westminster 008,6.4,1210,58.5,1499,2331,12.62729124,5.4,25.1,9.1,70.14938,16.8,37.8,6.6,-2.341796177934572,571.6077352941177,5,2,2.6
E02000968,Westminster 009,27.7,635,67.4,737,4093,28.81172002,33.7,41.3,22.8,53.87081,69.8,117.8,3.7,-0.6774755593913123,346.8348243243243,2,0,9.9
E02000969,Westminster 010,25.8,675,62.4,505,2542,26.11464968,34.4,40.0,21.3,53.90541,24.7,137.4,3.8,-0.3970106380969115,195.3017371134021,1,0,7.5
E02000970,Westminster 011,5.9,1290,40.2,2363,2993,10.2739726,4.2,21.8,8.2,73.949775,14.4,51.4,7.6,-1.894925943556372,516.731432774075,5,8,1.7
E02000971,Westminster 012,9.0,1080,55.9,1719,2944,15.81632653,8.7,32.7,11.0,69.128475,11.7,62.0,5.3,-1.95466082298321,642.6050511627908,3,2,3.8
E02000972,Westminster 013,10.1,995,57.3,1602,3437,18.1122449,18.3,39.0,13.2,65.25663,29.1,89.7,3.6,-1.169791950200356,733.7117983715012,10,30,3.5
E02000973,Westminster 014,8.9,1065,54.1,2052,3331,16.52281134,11.7,33.9,12.9,64.083775,18,79.1,4.8,-1.624975751855149,196.9407358490566,1,1,2.7
E02000974,Westminster 015,13.2,935,65.9,1347,2713,18.99736148,11.4,34.5,12.7,66.787355,14.8,59.4,4.6,-1.137767725524806,547.5371247848536,2,5,5.6
E02000975,Westminster 016,5.9,1210,55.0,1958,3169,13.12607945,8.1,40.8,8.6,69.127525,11.5,47.7,5.0,-2.0296746666549,342.4895165562914,3,0,3.5
E02000976,Westminster 017,7.8,1035,55.9,1870,3565,18.72399445,12.1,39.2,11.0,64.560785,23.3,66.7,4.6,-1.805731125454335,357.665174863388,6,4,4.1
E02000977,Westminster 018,9.4,1035,44.3,1722,2726,11.14551084,11.8,28.5,11.0,68.63154,67.7,87.6,5.2,-1.804371776686136,721.1774499812664,11,22,3.3
E02000978,Westminster 019,5.7,1260,50.9,1792,1592,17.37849779,1.7,10.2,6.0,77.331155,12.5,38.5,8.0,-2.230168532132878,431.4817371134021,2,0,2.3
E02000979,Westminster 020,10.8,1030,46.3,1574,2393,15.26845638,16.1,22.2,13.2,66.490225,118.3,191.0,4.7,-1.16532338873968,617.2716692268306,5,1,2.9
E02000980,Westminster 021,14.0,880,57.3,1253,3020,18.15889029,22.2,32.8,16.5,64.018165,74.2,128.0,4.5,-0.8853088043852693,389.4194171428571,0,0,3.8
E02000981,Westminster 022,7.6,1155,46.5,1923,2951,15.78947368,15.7,28.7,11.6,68.794825,58.9,86.6,5.9,-1.442181683897621,521.8712540983606,3,5,2.1
E02000982,Westminster 023,15.8,830,61.3,1009,2685,19.93087558,26.2,32.0,16.8,63.65585,53.9,100.1,3.9,-1.430411488684609,601.2441380042463,5,6,4.1
E02000983,Westminster 024,16.9,885,55.6,1158,2895,20.67567568,27.7,33.5,17.6,64.94694,51.3,99.7,4.0,-1.152843606884926,331.7281647509578,1,2,3.5
E02006782,Bromley 040,22.6,870,43.9,475,785,15.68627451,19.1,8.6,18.0,65.675945,41.9,81.6,5.0,-0.8756833236145108,505.5423636363637,1,0,1.1
E02006783,Lewisham 037,30.1,725,50.7,239,1274,18.64820847,30.9,17.4,18.1,57.616955,68.1,90.6,3.8,-0.75062485943177,522.0746576576577,0,1,2.2
E02006784,Lewisham 038,30.2,690,47.1,319,1347,19.98060136,24.8,17.5,19.6,59.11666,41.3,108.4,3.6,-0.7726610705167324,479.0259586206896,1,1,2.2
E02006785,Bexley 029,27.3,815,40.3,289,646,16.79586563,15.5,6.6,18.3,64.238945,38.7,85.7,4.6,-1.556657499345212,425.4330000000001,0,0,1.6
E02006786,Greenwich 033,22.1,800,46.8,268,984,18.28571429,22.0,17.7,14.7,61.641415,54.2,107.5,2.6,-1.924274613509452,572.0243949579831,0,0,2.9
E02006787,Bromley 041,16.7,1070,29.6,501,629,13.65313653,7.9,5.9,13.1,69.23752,54.7,77.8,6.9,-0.7486043645478883,219.6059720767888,1,3,0.5
E02006788,Croydon 045,21.3,805,39.5,294,1067,17.84860558,25.6,13.4,14.9,63.22344,29,79.5,3.2,-1.215232933362349,577.0719174311927,1,0,1.8
E02006789,Bromley 042,21.1,920,36.5,542,274,15.07607192,12.6,3.5,15.8,70.95106,41.3,84.5,7.9,-1.54409104918933,67.31875375576037,2,0,0.1
E02006791,Ealing 040,10.2,1145,43.4,897,1164,11.88118812,13.1,19.8,11.2,66.090875,49.9,118.9,3.9,-1.603176420755409,410.6610545454545,0,0,2.3
E02006792,Hounslow 029,9.2,1200,45.2,1093,1716,13.69127517,12.9,20.4,12.4,68.295195,31.9,73.9,7.3,-1.172796514795066,187.3077000919963,5,1,2.4
E02006793,Enfield 037,30.6,620,59.7,274,1687,20.46543463,28.0,31.8,16.4,57.039065,33.4,111.4,1.4,-1.62142977178679,286.2833493975904,0,1,12.1
E02006794,Haringey 037,30.1,565,58.7,231,1878,23.10374891,29.2,38.1,16.9,56.975855,24.8,123.6,2.6,-1.18516977358035,169.8046503067485,2,1,12.5
E02006795,Harrow 032,14.4,1005,38.7,386,500,15.77540107,8.8,14.4,13.9,65.00421,35.1,86.6,1.9,-1.877847252295827,356.9934307692308,1,0,5.3
E02006796,Hillingdon 033,19.6,905,39.6,489,672,13.06191688,11.4,12.0,13.6,64.56755,65.3,99.7,7.6,-1.359916413879548,479.4901809210527,2,3,2.2
E02006798,Lewisham 039,18.9,670,47.7,365,2060,18.01896733,31.8,35.6,13.7,55.460975,40.5,116.9,3.1,-1.205603552786013,299.070764,1,11,6.3
E02006799,Barking and Dagenham 023,30.1,675,50.2,348,1324,19.3174501,22.1,16.9,18.0,57.578765,38.3,108.4,3.6,-1.452294424923128,599.5696830601094,1,0,3.3
E02006800,Redbridge 034,18.1,840,52.7,569,1313,24.10171365,16.6,22.3,14.3,60.516955,33.3,86.5,1.0,-1.843414023745914,354.786756097561,0,0,7.1
E02006801,Lambeth 036,13.0,970,44.9,1057,2610,15.02683363,22.4,25.8,12.3,62.30358,39.6,117.1,1.5,-1.004945325261351,332.9108637532134,6,9,2.4
E02006802,Southwark 034,14.1,815,41.4,654,1968,15.7807309,27.6,31.5,14.2,57.79119,141.7,196.4,2.6,-0.4879002541714607,468.5529557522124,1,3,3.0
E02006836,Sutton 025,12.8,1180,25.7,755,336,15.1,2.8,5.0,13.0,74.30513,69.4,70.6,6.4,-1.263790599713547,203.0756402431193,0,0,0.9
E02006853,Tower Hamlets 032,14.6,850,58.9,1044,2193,21.9895288,28.8,42.4,9.7,58.81649,25.1,68.4,3.6,-1.879073660046539,763.7418,1,0,5.0
